visit_id	wifi_id	date	indices
v26335	47140	17210	196347;196348;196371;196394;196400;196401;196410;196449;196521;196536;196537;196547;196575;196676
v26348	47182	17184	78017;78018;78019;78046;78069;78074;78075;78076;78084;78111;78175;78215;78216;78234
v26357	47214	17186	87563;87564;87619;87620;87621;87769;87803;87869;87904;87927;87955;88099;88100
v26503	47591	17169	16983;16984;16985;16986;17023;17024;17097;17113;17120;17125;17220;17249;17260
v26868	48694	17307	460211;460215;460216;460220;460328
v27108	49308	17300	448079;448080;448081;448082;448101;448120;448123;448124;448127;448130;448138;448148
v27135	49400	17326	495198;495199;495200;495201;495224;495227;495363;495365;495367;495372;495374;495375
v27168	49505	17223	249550;249551;249566;249567;249574;249578;249584;249592;249598;249600;249601
v27210	49644	17228	269420;269421;269422;269423;269425;269427;269430;269455;269456;269468;271500
v27424	50280	17223	252758;252759;252778;252783;252807;252814;252874;252876;252878;252880;252881;252884
v27426	50285	17198	137225;137226;137227;137228;137235;137236;137263;137294;137330;137331;137332;137350;137366
v27629	50869	17195	122136;122137;122164;122175;122196;122201;122225;122290;122315;122316;122324;122371;122372
v27630	50870	17223	251145;251146;251147;251151
v27631	50870	17335	513186;513187;513191;514398;514399;514404;514450
v27998	51937	17220	237362;237363;237414;237415;237420;237440;237473;237474;237480;237484;237496;237577;237580
v28066	52162	17200	152629;152632;152636;152637;152641;152646;152647;152648;152650;152651
v28281	52764	17208	186470;186471;186483;186484;186485;186487;186489;186490;186551
v28355	53022	17210	196755;196756;196760;196763;196768;196803;196805;196809;196840;196841;196872;196896;196953
v28358	53027	17308	461140;461141
v28492	53417	17341	523862;523863;524507;524595;524597;524598;524615;524788;524807;524808;524809;524814
v28569	53690	17218	230954;230955;230985;231009;231010;231047;231085;231086;231108;231172;231410;231590;231712
v28620	53849	17228	271340;271341;271342;271344;271348;271371;271379;271380;271383;271418;271419;271431;271439
v28637	53895	17179	58492;58493;58494;58576;58612;58635;58909;58910;58912;59138;59140;59148
v28645	53920	17242	325179;325180;325181;325182;325183
v28841	54478	17249	347937;347938;347949;347957;347970;347971;347972;347977;348046;348047;348050
v28854	54525	17172	31963;31965;31968;31969;31980;31994;31995;31999;32000;32033;32034;32040;32050
v28874	54586	17185	82201;82202;82203
v28875	54586	17200	151927;151928;151929;151936;151940;151950;151951
v29042	55055	17203	168175;168179;168180;168183;168191;168195;168204;168213;168221;168222;168223;168224
v29080	55165	17277	409129;409130;409131;409132;409250;409251;409252
v29115	55245	17204	172092;172093;172094;172141;172194;172202;172246;172541;172542;172544;172548
v29268	55740	17195	124269;124270;124272;124273;124274;124276;124277;124298;124299;124301;124305
v29292	55852	17194	119255;119256;119257;119381;119382;119403;119428;119476;119479;119541;119594;119645
v29361	56070	17223	248936;248937;248942;248947;248967;248968;248988;248991;248998
v29389	56168	17204	170518;170520;170610;170699;170719;170814;170943;170945;170947;170948;171055;171058
v29664	57082	17194	120112;120153;120154;120163;120164;120171;120184;120198;120224;120244;120304;120309
v29675	57114	17252	359183;359184;359185;359187;359619;359622;359623;359624
v29760	57378	17290	431653;431654;431660;431662;431673;431691;431708;431711;431712;431713;431715;431725
v29772	57407	17271	397361;397362;397364;397371;397383;397385;397395;397470;397478;397479;397570;397587
